tiempo,frontal_der,frontal_izq,diagonal_der,diagonal_izq,lateral_der,lateral_izq,trasero_der,trasero_izq,encoder_izq,encoder_der
6.848,71.48,69.27,61.27,120.16,72.25,67.40,69.79,69.49,20.4163,20.0960
6.880,66.79,68.28,71.73,117.14,71.50,70.86,68.38,65.97,20.5105,20.1902
6.912,63.49,79.71,62.94,131.90,59.92,69.02,58.37,63.26,20.6110,20.2907
6.944,64.55,76.64,68.87,134.53,67.20,59.21,72.76,64.32,20.7052,20.3849
6.976,68.31,88.40,64.16,136.70,67.58,66.89,69.70,64.95,20.7994,20.4791
7.008,71.91,97.72,66.79,152.80,66.89,66.68,73.99,63.48,20.8936,20.5733
7.040,66.27,102.29,63.62,143.20,65.43,63.74,67.69,62.40,20.9940,20.6738
7.072,69.09,106.90,64.45,156.21,62.54,67.59,67.24,72.02,21.0882,20.7680
7.104,64.90,104.01,68.60,167.82,59.89,64.07,68.74,64.59,21.1824,20.8622
7.136,72.11,110.48,74.53,173.74,68.61,68.11,62.56,70.50,21.2766,20.9626
7.168,58.67,113.67,69.73,183.84,64.65,68.41,66.24,69.48,21.3771,21.0568
7.200,69.12,119.37,68.45,194.55,74.08,67.13,66.85,65.21,21.4713,21.1510
7.232,68.10,112.80,70.07,211.56,62.57,69.10,64.28,67.22,21.5655,21.2452
7.264,59.54,126.91,65.94,218.87,65.49,67.14,62.95,65.18,21.6660,21.3457
7.296,66.18,129.28,69.47,228.26,57.41,67.45,67.64,69.13,21.7602,21.4399
7.328,67.72,140.50,68.19,238.21,63.09,69.51,67.77,65.70,21.8544,21.5341
7.360,66.46,141.58,69.09,261.41,71.75,64.54,63.50,70.84,21.9486,21.6346
7.392,70.11,147.92,67.44,286.17,68.36,69.79,68.75,65.54,22.0491,21.7288
7.424,56.67,151.38,66.81,295.00,62.76,128.98,74.41,64.68,22.1433,21.8230
7.456,62.22,166.64,68.70,314.55,70.21,141.33,69.53,70.42,22.2375,21.9172
7.488,66.98,182.80,67.42,347.85,67.02,142.90,68.77,63.13,22.3317,22.0177
7.520,63.36,193.81,68.98,362.29,71.93,158.53,68.35,66.82,22.4322,22.1119
7.552,65.11,199.17,67.07,401.17,69.63,169.75,62.24,68.86,22.5264,22.2061
7.584,63.16,228.74,69.24,483.03,69.59,174.82,65.10,65.27,22.6206,22.3003
7.616,68.59,222.49,67.72,503.19,69.28,211.27,66.67,65.16,22.7022,22.2563
7.648,68.07,197.62,69.40,465.81,71.14,227.27,62.36,71.97,22.7838,22.2061
7.680,63.71,174.58,73.01,432.61,70.36,236.60,64.51,65.50,22.8592,22.1621
7.712,68.59,145.55,64.84,432.81,67.84,268.21,67.13,65.56,22.9408,22.1119
7.744,67.60,137.21,66.21,405.64,70.24,294.88,71.89,62.89,23.0225,22.0616
7.776,66.49,145.76,60.17,430.63,65.16,297.59,72.15,69.94,23.1167,22.1621
7.808,69.22,150.72,69.78,497.93,67.75,321.50,65.65,71.60,23.2109,22.2563
7.840,71.95,142.74,65.24,484.00,64.74,348.25,71.23,69.52,23.2925,22.2061
7.872,66.28,118.12,69.77,438.65,67.58,371.80,69.13,66.42,23.3742,22.1621
7.904,70.04,66.84,58.77,384.38,66.28,388.13,69.33,72.97,23.4558,22.1119
7.936,64.57,66.65,68.05,419.12,66.43,421.00,68.56,71.63,23.5500,22.2061
7.968,66.14,69.82,67.04,480.81,62.42,450.19,65.30,64.19,23.6442,22.3003
8.000,64.72,62.02,69.80,407.47,64.48,478.88,66.99,66.95,23.7258,22.2563
8.032,69.22,71.52,67.63,423.15,64.81,477.73,68.11,74.97,23.8200,22.3505
8.064,66.56,68.29,68.18,453.47,61.71,548.08,75.03,71.40,23.9142,22.4447
8.096,63.94,69.33,64.55,409.36,65.65,615.87,64.21,65.79,23.9959,22.4008
8.128,70.86,66.63,69.39,447.45,66.20,597.97,66.78,58.44,24.0901,22.4950
8.160,64.82,69.12,73.57,383.98,67.90,692.04,68.04,68.54,24.1717,22.4447
8.192,70.23,60.56,70.44,395.54,69.02,762.68,61.30,65.96,24.2659,22.5452
