tiempo,dist_front_raw,dist_filtered,dist_kalman,accion
11.360,1.43713,1.49371,1.45994,AVANZAR
11.392,1.41277,1.48499,1.43002,AVANZAR
11.424,1.24844,1.45983,1.31704,AVANZAR
11.456,1.21731,1.43156,1.25466,AVANZAR
11.488,1.06281,1.38281,1.13535,AVANZAR
11.520,0.96341,1.31546,1.02832,AVANZAR
11.552,0.86886,1.22818,0.92901,AVANZAR
11.584,0.77124,1.13336,0.83077,AVANZAR
11.616,0.68867,1.02553,0.74218,AVANZAR
11.648,0.59958,0.92230,0.65329,AVANZAR
11.680,0.56830,0.83116,0.60002,AVANZAR
11.712,0.44521,0.73683,0.50361,AVANZAR
11.744,0.37936,0.65489,0.42606,GIRAR_IZQ
11.776,0.23324,0.57231,0.30677,GIRAR_IZQ
11.808,0.22603,0.51048,0.25674,GIRAR_IZQ
11.840,0.23330,0.46929,0.24211,GIRAR_IZQ
11.872,0.26421,0.46657,0.25567,GIRAR_IZQ
11.904,0.23307,0.48228,0.24158,GIRAR_IZQ
11.936,0.20829,0.51671,0.22086,GIRAR_IZQ
11.968,0.19370,0.54881,0.20397,GIRAR_IZQ
12.000,0.17849,0.59439,0.18810,GIRAR_IZQ
12.032,0.15366,0.64419,0.16667,GIRAR_IZQ
12.064,0.14210,0.69688,0.15136,GIRAR_IZQ
12.096,0.13416,0.75490,0.14061,GIRAR_IZQ
12.128,0.12751,0.81566,0.13239,GIRAR_IZQ
12.160,0.12164,0.86272,0.12562,GIRAR_IZQ
12.192,0.11907,0.89459,0.12143,GIRO_VERTICE_IZQ
12.224,0.11667,0.92743,0.11851,GIRO_VERTICE_IZQ
12.256,0.12052,0.96709,0.11975,GIRO_VERTICE_IZQ
12.288,0.12874,1.01743,0.12528,GIRAR_IZQ
12.320,0.13633,1.07602,0.13201,GIRAR_IZQ
12.352,0.14454,1.14508,0.13963,GIRAR_IZQ
12.384,0.15034,1.21481,0.14610,GIRAR_IZQ
12.416,0.17126,1.28200,0.16153,GIRAR_IZQ
12.448,0.19617,1.35263,0.18284,GIRAR_IZQ
12.480,0.25558,1.40736,0.22765,GIRAR_IZQ
12.512,0.34863,1.44970,0.30230,GIRAR_IZQ
12.544,0.40170,1.48063,0.36361,GIRAR_IZQ
12.576,0.48324,1.50000,0.43742,GIRAR_IZQ
12.608,0.57193,1.50000,0.52043,CORRIGIENDO_IZQ
12.640,0.59032,1.50000,0.56301,CORRIGIENDO_IZQ
12.672,0.60899,1.50000,0.59079,CORRIGIENDO_IZQ
12.704,0.63745,1.50000,0.61899,CORRIGIENDO_IZQ
12.736,0.62337,1.50000,0.62109,CORRIGIENDO_IZQ
12.768,0.63317,1.50000,0.62794,CORRIGIENDO_IZQ
12.800,0.64785,1.50000,0.63961,CORRIGIENDO_IZQ
12.832,0.69223,1.50000,0.67149,CORRIGIENDO_IZQ
12.864,0.74093,1.50000,0.71379,CORRIGIENDO_IZQ
12.896,0.77851,1.50000,0.75317,CORRIGIENDO_IZQ
12.928,0.80597,1.50000,0.78516,CORRIGIENDO_IZQ
12.960,0.87383,1.50000,0.83935,CORRIGIENDO_IZQ
12.992,0.91390,1.50000,0.88481,CORRIGIENDO_IZQ
13.024,0.98168,1.50000,0.94404,CORRIGIENDO_IZQ
13.056,1.01302,1.50000,0.98603,CORRIGIENDO_IZQ
13.088,1.04572,1.50000,1.02230,CORRIGIENDO_IZQ
13.120,1.16481,1.50000,1.10977,CORRIGIENDO_IZQ
13.152,1.18203,1.50000,1.15379,CORRIGIENDO_IZQ
13.184,1.28521,1.50000,1.23437,CORRIGIENDO_IZQ
13.216,1.27925,1.50000,1.26149,CORRIGIENDO_IZQ
13.248,1.35869,1.50000,1.32095,CORRIGIENDO_IZQ
13.280,1.47491,1.50000,1.41546,CORRIGIENDO_IZQ
13.312,1.50000,1.50000,1.46709,CORRIGIENDO_IZQ
13.344,1.50000,1.50000,1.48679,AVANZAR
13.376,1.50000,1.50000,1.49419,AVANZAR
13.408,1.50000,1.50000,1.49704,AVANZAR
13.440,1.50000,1.50000,1.49813,AVANZAR
13.472,1.50000,1.50000,1.49852,AVANZAR
13.504,1.50000,1.50000,1.49867,AVANZAR
13.536,1.50000,1.50000,1.49876,AVANZAR
13.568,1.50000,1.50000,1.49879,AVANZAR
13.600,1.50000,1.50000,1.49877,AVANZAR
13.632,1.50000,1.50000,1.49877,AVANZAR
13.664,1.50000,1.50000,1.49879,AVANZAR
13.696,1.50000,1.50000,1.49878,AVANZAR
13.728,1.50000,1.50000,1.49877,AVANZAR
13.760,1.50000,1.50000,1.49879,AVANZAR
13.792,1.50000,1.50000,1.49880,AVANZAR
13.824,1.50000,1.50000,1.49878,AVANZAR
13.856,1.50000,1.50000,1.49877,AVANZAR
13.888,1.50000,1.50000,1.49879,AVANZAR
13.920,1.50000,1.50000,1.49880,AVANZAR
13.952,1.50000,1.50000,1.49878,AVANZAR
13.984,1.50000,1.50000,1.49877,AVANZAR
14.016,1.50000,1.50000,1.49879,AVANZAR
14.048,1.50000,1.50000,1.49878,AVANZAR
14.080,1.50000,1.50000,1.49877,AVANZAR
14.112,1.50000,1.50000,1.49879,AVANZAR
14.144,1.50000,1.50000,1.49880,AVANZAR
14.176,1.50000,1.50000,1.49878,AVANZAR
14.208,1.50000,1.50000,1.49877,AVANZAR
14.240,1.50000,1.50000,1.49879,AVANZAR
14.272,1.50000,1.50000,1.49880,AVANZAR
14.304,1.50000,1.50000,1.49876,AVANZAR
14.336,1.50000,1.50000,1.49879,AVANZAR
14.368,1.50000,1.50000,1.49880,AVANZAR
14.400,1.50000,1.50000,1.49878,AVANZAR
14.432,1.50000,1.50000,1.49877,AVANZAR
14.464,1.50000,1.50000,1.49879,AVANZAR
14.496,1.50000,1.50000,1.49880,AVANZAR
14.528,1.50000,1.50000,1.49878,AVANZAR
14.560,1.50000,1.50000,1.49877,AVANZAR
14.592,1.50000,1.50000,1.49879,AVANZAR
14.624,1.50000,1.50000,1.49878,AVANZAR
14.656,1.50000,1.50000,1.49877,AVANZAR
14.688,1.50000,1.50000,1.49879,AVANZAR
14.720,1.50000,1.50000,1.49880,AVANZAR
14.752,1.50000,1.50000,1.49878,AVANZAR
14.784,1.50000,1.50000,1.49877,AVANZAR
14.816,1.50000,1.50000,1.49879,AVANZAR
14.848,1.50000,1.50000,1.49880,AVANZAR
14.880,1.50000,1.50000,1.49878,AVANZAR
14.912,1.50000,1.50000,1.49877,AVANZAR
14.944,1.50000,1.50000,1.49879,AVANZAR
14.976,1.50000,1.50000,1.49878,AVANZAR
15.008,1.50000,1.50000,1.49877,AVANZAR
15.040,1.50000,1.50000,1.49879,AVANZAR
15.072,1.50000,1.50000,1.49880,AVANZAR
15.104,1.50000,1.50000,1.49878,AVANZAR
15.136,1.50000,1.50000,1.49877,AVANZAR
15.168,1.50000,1.50000,1.49879,AVANZAR
15.200,1.50000,1.50000,1.49880,AVANZAR
15.232,1.50000,1.50000,1.49878,AVANZAR
15.264,1.50000,1.50000,1.49877,AVANZAR
15.296,1.50000,1.50000,1.49879,AVANZAR
15.328,1.50000,1.50000,1.49878,AVANZAR
15.360,1.50000,1.50000,1.49877,AVANZAR
15.392,1.50000,1.50000,1.49879,AVANZAR
15.424,1.50000,1.50000,1.49880,AVANZAR
15.456,1.50000,1.50000,1.49878,AVANZAR
15.488,1.50000,1.50000,1.49877,AVANZAR
15.520,1.50000,1.50000,1.49879,AVANZAR
15.552,1.50000,1.50000,1.49880,AVANZAR
15.584,1.50000,1.50000,1.49876,AVANZAR
15.616,1.50000,1.50000,1.49879,AVANZAR
15.648,1.50000,1.50000,1.49880,AVANZAR
15.680,1.50000,1.50000,1.49878,AVANZAR
15.712,1.50000,1.50000,1.49877,AVANZAR
15.744,1.50000,1.50000,1.49879,AVANZAR
15.776,1.47687,1.49769,1.48451,AVANZAR
15.808,1.35124,1.48281,1.40138,AVANZAR
15.840,1.33776,1.46659,1.36130,AVANZAR
15.872,1.23062,1.43965,1.27979,AVANZAR
15.904,1.11188,1.40084,1.17526,AVANZAR
15.936,0.98095,1.34166,1.05441,AVANZAR
